year,mean
"2,015","1,514.551"
"2,016","1,123.493"
"2,017","1,348.943"
"2,018","1,218.248"
"2,019","1,297.454"
"2,020","1,516.713"
"2,021","1,452.719"
"2,022","1,250.012"
"2,023","1,255.432"
"2,024","1,165.797"
"2,025","1,498.09"
