year,mean
"2,015",174.702
"2,016",176.383
"2,017",240.96
"2,018",70.093
"2,019",293.061
"2,020",296.858
"2,021",167.189
"2,022",433.327
"2,023",194.473
"2,024",275.104
"2,025",219.092
