year,mean
"2,015",624.342
"2,016",568.871
"2,017",647.737
"2,018",586.055
"2,019",671.105
"2,020",658.271
"2,021",466.815
"2,022",539.307
"2,023",454.015
"2,024",572.83
"2,025",432.355
