year,mean
"2,015",825.045
"2,016",677.467
"2,017",728.834
"2,018",725.293
"2,019",765.92
"2,020",848.922
"2,021",641.939
"2,022",659.478
"2,023",581.641
"2,024",708.492
"2,025",635.902
