year,mean
"2,015",138.366
"2,016",154.556
"2,017",185.488
"2,018",90.993
"2,019",268.419
"2,020",207.423
"2,021",118.159
"2,022",261.776
"2,023",162.735
"2,024",218.015
"2,025",154.52
